
abcdefghijklm nopqrstuvwxyzabcdefghijklmnopqrstuvwxyzm
zxcvbnmasdfghjklqwertyuiop poiuytrewqlkjhgfdsamnbvcxz
teststring stringtest
abcdefghijklmabcdefghijklm abcdefghijklmabcdefghijkln
mississippi ippmississis
thequickbrownfox jumpsrightoverthelazydog
abcdabcdabcdabcd abcdabcdabcdabcd
anagramtest testanagram
pythonjava cplusplus
racecar racecare
aabbccddeeffgghhii aabbccddeeffgghhii
pneumonoultramicroscopicsilicovolcanoconiosis silicovolcanoconiosispneumonoultramicroscopic
aaaaaaaaaaaaaaaaaaa bbbbbbbbbbbbbbbbbbb
abcdefghijklmnopqrstuvwxyz zyxwvutsrqponmlkjihgfedcba
openaiartificialintelligence intelligenceartificialopenai
xxxxxxxxxxxxxyyyyyyyyyyyyyzzzzzzzzzzzz yyyyyyyyyyyyyxxxxxxxxxxxxzzzzzzzzzzzz
longlonglonglongstring shortshortstring
alphabeticalorderedtext orderedtextalphabetical
subsequencecanaappear sequencecanaappearsub
abcdefghijkabcdefghijkabcdefghijkabcdefghijk abcdefghijkabcdefghijkabcdefghijkabcdefghijz
abcdefghijklmnopqrstuvwxyzaabcdefghijklmnopqrstuvwxyza abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz
abcdefghijklmnopqrstuabcdefghijklmnopqrstu zyxwvutsrqponmlkjihgfedcbaabcdefghijklmnopqrst
aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz
abababababababababababababababab abababababababababababababababab
mnopqrstmnopqrstmnopqrstmnopqrst mnopqrstmnopqrstmnopqrstmnopqrstu
abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghij abcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghijabcdefghik
helloworldhelloworldhelloworldhelloworld helloworldhelloworldhelloworldhelloworld
aaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbb aaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbb
abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzz
thisisaverylongstringwithrepeatedcharacters thisisaverylongstringwithrepeatedcharacters
abcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyz zyxwvutsrqponmlkjihgfedcbaabcdefghijklmopqrstuvwxyz
longstringwithuppercasecharacters LONGSTRINGWITHUPPERCASECHARACTERS
aaaaabbbbbcccccdddddeeeeefffffggggghhhhhiiiiijjjjjkkkkklllllmmmmmnnnnnoooo pppppqqqqqrrrrrssssstttttuuuuuvvvvvwwwwwxxxxxxyyyyyzzzzz
zzzzzyyyyyxxxxxwwwwwvvvvvuuuuutttttrrrrqqqqpppppoooonnnnnmmmmlllllkkkkkjjjjjiiiii hhhhhgggggfffffeeeeeedddddcccccbbbbb aaaaa
